lemma	count	gloss
καρπός	66	fruit, result, gain
ἐντολή	66	an ordinance, injunction, command
πρεσβύτερος	65	elder
φημί	65	I say
εἴτε	65	and if, whether
δαιμόνιον	63	an evil-spirit, demon
Ἱεροσόλυμα	63	Jerusalem
θρόνος	62	a throne, seat
γραμματεύς	62	a scribe, town-clerk, man of learning
ἐρωτάω	62	I ask, question, request
δοκέω	62	I think, seem, appear, it seems
θέλημα	62	will, wish, desire
ἔξω	62	without, outside
ὄρος	62	a mountain
νύξ	61	the night, night-time
ὧδε	61	here
ἀγαπητός	61	loved, beloved
δοξάζω	61	I glorify, honor, bestow glory on
κηρύσσω	61	I proclaim, herald, preach
Γαλιλαία	61	Galilee
ἱμάτιον	60	outer garment
ὑπάρχω	60	I am, exist, am in possession
προσκυνέω	60	I worship
ἤδη	60	now, already
συνάγω	59	I gather together
Δαυίδ	59	David
εὐθύς	59	straight, immediately
χαρά	59	joy, gladness
ἀσπάζομαι	59	I greet, salute, pay my respects to
διδάσκαλος	58	a teacher
θεωρέω	58	I behold, look at, experience
λίθος	58	a stone
μηδέ	57	and not, not even
ἐπερωτάω	56	I interrogate, question, demand of
συναγωγή	56	an assembly, congregation, synagogue
δέχομαι	56	I take, receive, accept, welcome
τοιοῦτος	56	of such a kind, such
μέσος	56	middle, in the middle
λοιπός	55	left, left behind, the remainder
τρίτος	55	third
ἀρχή	55	ruler, beginning
κράζω	55	I cry aloud, shriek
Πιλᾶτος	55	Pilate
εὐαγγελίζω	54	I bring good news, preach good tidings
δεξιός	54	on the right hand, right hand, right
ὅπως	53	how, in order that, so that
χρόνος	53	time, a particular time, season
διό	53	wherefore
οὐχί	53	by no means, not at all
ἐλπίς	53	hope, expectation
ἔσχατος	52	last, at the last, finally
πείθω	52	I persuade, urge
σπείρω	52	I sow, spread, scatter
ἐπαγγελία	52	a promise
παιδίον	52	a little child, an infant
σοφία	51	wisdom
τυφλός	50	blind
κακός	50	bad, evil
παραβολή	50	a parable, comparison
ποῦ	50	where, whither
γλῶσσα	50	the tongue, a language, nation
μακάριος	50	happy, blessed
παραλαμβάνω	49	I take, receive
ἄρα	49	then, therefore, since
γραφή	49	a writing, passage of scripture, the scriptures
ἔτος	49	a year
χρεία	49	need, necessity, business
ἔρημος	48	deserted, desolate, a desert
ἔμπροσθεν	48	in front, before the face
ἀποδίδωμι	48	I give back, return, sell
φανερόω	48	I make clear, visible, or manifest
