form	count	lemma	gloss
ἔλεγε(ν)	71	λέγω	I say, speak
δύναται	71	δύναμαι	I am powerful, am able
ἕν	70	εἷς	one
σῶμα	70	σῶμα	body, flesh
τούτου	69	οὗτος	this, he, she, it
Ἰουδαίων	68	Ἰουδαῖος	Jewish
λόγος	68	λόγος	a word, speech, divine utterance, analogy
Ἰσραήλ	68	Ἰσραήλ	Israel
νόμου	67	νόμος	a law, the Mosaic Law
κύριον	67	κύριος	lord, Lord, master, sir
ἀλλήλους	67	ἀλλήλων	one another
γέγραπται	67	γράφω	I write
ἐξῆλθε(ν)	66	ἐξέρχομαι	I go out, come out
Χριστόν	65	Χριστός	anointed, the Messiah, the Christ
ἑαυτόν	65	ἑαυτοῦ	himself, herself, itself
ἑαυτούς	65	ἑαυτοῦ	himself, herself, itself
εἴτε	65	εἴτε	and if, whether
ἔδωκε(ν)	64	δίδωμι	I offer, give
πρῶτον	64	πρῶτος	first, before
πολλά	64	πολύς	much, many, often
τέκνα	63	τέκνον	a child, descendent, inhabitant
πόλιν	63	πόλις	a city
ἄνδρες	63	ἀνήρ	a male human being, a man
οἴδατε	63	οἶδα	I know, remember
ἦλθον	62	ἔρχομαι	I come, go
ἄνθρωπον	62	ἄνθρωπος	a man, one of the human race
ἔξω	62	ἔξω	without, outside
ὧδε	61	ὧδε	here
χάρις	61	χάρις	grace, favor, kindness
ἤδη	60	ἤδη	now, already
οἵτινες	60	ὅστις	whosoever, whichsoever, whatsoever
ἰδών	60	ὁράω	I see, look upon, experience
βασιλείαν	60	βασιλεία	kingship, sovereignty, authority, rule, kingdom
ζωήν	60	ζωή	life
χεῖρας	60	χείρ	a hand
τοῦτον	60	οὗτος	this, he, she, it
σοῦ	59	σύ	you
παντί	59	πᾶς	all, the whole, every kind of
Δαυίδ	59	Δαυίδ	David
νόμον	59	νόμος	a law, the Mosaic Law
λέγουσι(ν)	59	λέγω	I say, speak
ἔργα	58	ἔργον	work, labor, action, deed
ἐκεῖνος	58	ἐκεῖνος	that, that one there, yonder
εἶπον	58	λέγω	I say, speak
ἡμέραν	58	ἡμέρα	a day
ἁμαρτίας	58	ἁμαρτία	a sin
πίστει	58	πίστις	faith, belief, trust
δόξαν	58	δόξα	honor, renown, glory splendor
καρδίας	57	καρδία	the heart, inner life, intention
ὅσα	57	ὅσος	how much, how great, how many
οἶκον	57	οἶκος	a house, household
μηδέ	57	μηδέ	and not, not even
Ἰουδαῖοι	57	Ἰουδαῖος	Jewish
τινες	56	τις	any one, some one
ἐξουσίαν	56	ἐξουσία	power, authority, weight
οἶδα	56	οἶδα	I know, remember
αὐτά	56	αὐτός	he, she, it, they, them, same
πᾶσαν	56	πᾶς	all, the whole, every kind of
πόδας	55	πούς	the foot
πίστιν	55	πίστις	faith, belief, trust
βασιλεία	55	βασιλεία	kingship, sovereignty, authority, rule, kingdom
Ἰωάννης	54	Ἰωάννης	John
καλόν	54	καλός	beautiful, good, worthy
θανάτου	53	θάνατος	death
διό	53	διό	wherefore
οὐχί	53	οὐχί	by no means, not at all
ὅπως	53	ὅπως	how, in order that, so that
ταύτην	53	οὗτος	this, he, she, it
ἐσμέν	52	εἰμί	I am, exist
οὕς	52	ὅς	who, which, what, that
ἔθνη	51	ἔθνος	a race, people, the Gentiles
ἀνήρ	51	ἀνήρ	a male human being, a man
γυναῖκα	51	γυνή	a woman, wife, my lady
ἀκούσαντες	51	ἀκούω	I hear, listen
εὐθύς	51	εὐθύς	straight, immediately
ὁδόν	51	ὁδός	a way, road, journey
σοί	51	σύ	you
ἑαυτοῖς	50	ἑαυτοῦ	himself, herself, itself
ἐλθών	50	ἔρχομαι	I come, go
ἔχετε	50	ἔχω	I have, hold, possess
ποῦ	50	ποῦ	where, whither
ἀρχιερεῖς	50	ἀρχιερεύς	high priest, chief priest
ἧς	49	ὅς	who, which, what, that
ἡμέραις	49	ἡμέρα	a day
ἄρα	49	ἄρα	then, therefore, since
Φαρισαῖοι	48	Φαρισαῖος	a Pharisee
βασιλεύς	48	βασιλεύς	a king, ruler, emperor
ἔμπροσθεν	48	ἔμπροσθεν	in front, before the face
δόξης	48	δόξα	honor, renown, glory splendor
ἔχω	48	ἔχω	I have, hold, possess
φῶς	48	φῶς	light, a source of light
οὐκέτι	47	οὐκέτι	no longer, no more
ἑαυτοῦ	47	ἑαυτοῦ	himself, herself, itself
ἄγγελος	47	ἄγγελος	an angel, messenger
ζωῆς	47	ζωή	life
πρό	47	πρό	before
ἄχρι	47	ἄχρι	as far as, up to, until
ποιῆσαι	46	ποιέω	I do, make
ἅγιον	46	ἅγιος	set apart, holy, sacred
οἷς	46	ὅς	who, which, what, that
πᾶσα	46	πᾶς	all, the whole, every kind of
γένηται	46	γίνομαι	I come into being, am born
ἔχοντες	46	ἔχω	I have, hold, possess
μαθητῶν	46	μαθητής	a learner, disciple, pupil
ὄχλος	46	ὄχλος	a crowd
τόπον	46	τόπος	a place
κόσμον	46	κόσμος	the world, universe
οὐαί	46	οὐαί	woe!, alas!
ἐθνῶν	45	ἔθνος	a race, people, the Gentiles
αἰώνιον	45	αἰώνιος	eternal, unending
λόγῳ	45	λόγος	a word, speech, divine utterance, analogy
πάσῃ	45	πᾶς	all, the whole, every kind of
λαόν	44	λαός	a people, the crowd
ὤν	44	εἰμί	I am, exist
ἀνθρώποις	44	ἄνθρωπος	a man, one of the human race
πρόσωπον	43	πρόσωπον	the face, countenance, surface
ἀληθείας	43	ἀλήθεια	truth
θάλασσαν	43	θάλασσα	the sea, lake
οὐρανόν	43	οὐρανός	the sky, the heaven
ἔφη	43	φημί	I say
ᾖ	43	εἰμί	I am, exist
οἴδαμεν	43	οἶδα	I know, remember
ἀδελφός	43	ἀδελφός	a brother
ἔχομεν	43	ἔχω	I have, hold, possess
αἷμα	43	αἷμα	blood
εἰσῆλθε(ν)	43	εἰσέρχομαι	I go in, come in, enter
ἁγίου	42	ἅγιος	set apart, holy, sacred
πάσης	42	πᾶς	all, the whole, every kind of
εἶδε(ν)	42	ὁράω	I see, look upon, experience
χάριν	42	χάρις	grace, favor, kindness
ἕνα	42	εἷς	one
τρεῖς	42	τρεῖς	three
χωρίς	42	χωρίς	apart from, without
ἔργων	42	ἔργον	work, labor, action, deed
ἐγέννησε(ν)	42	γεννάω	I beget, bring forth, give birth to
Μωϋσῆς	42	Μωϋσῆς	Moses
ἐλθεῖν	42	ἔρχομαι	I come, go
οὐρανῶν	42	οὐρανός	the sky, the heaven
ἀδελφόν	41	ἀδελφός	a brother
μαθηταῖς	41	μαθητής	a learner, disciple, pupil
πάντοτε	41	πάντοτε	always, at all times
σήμερον	41	σήμερον	today, now
ἑαυτῶν	41	ἑαυτοῦ	himself, herself, itself
ἰδόντες	41	ὁράω	I see, look upon, experience
ἤρξατο	41	ἄρχω	I reign, rule
λέγειν	40	λέγω	I say, speak
ψυχήν	40	ψυχή	the soul, life, self
φωνήν	40	φωνή	a sound, noise, voice
οἰκίαν	40	οἰκία	a house, household
ἀπῆλθε(ν)	40	ἀπέρχομαι	I come or go away from, depart, return
θέλημα	40	θέλημα	will, wish, desire
εὐαγγέλιον	40	εὐαγγέλιον	the good news, the gospel
χρείαν	40	χρεία	need, necessity, business
λαβών	40	λαμβάνω	I receive, take
Ἰωάννου	39	Ἰωάννης	John
σαρκί	39	σάρξ	flesh, body
μαθητάς	39	μαθητής	a learner, disciple, pupil
εἰρήνη	39	εἰρήνη	peace, peace of mind
ἀδελφούς	39	ἀδελφός	a brother
Πιλᾶτος	39	Πιλᾶτος	Pilate
ἄρτον	38	ἄρτος	bread, a loaf, food
σέ	38	σύ	you
πολλῶν	38	πολύς	much, many, often
ἥτις	38	ὅστις	whosoever, whichsoever, whatsoever
ἕκαστος	38	ἕκαστος	each, every one
ἀπέστειλε(ν)	38	ἀποστέλλω	I send forth, send, send away, dismiss
λαοῦ	38	λαός	a people, the crowd
Ἱεροσόλυμα	38	Ἱεροσόλυμα	Jerusalem
ἁγίων	38	ἅγιος	set apart, holy, sacred
ἰδεῖν	38	ὁράω	I see, look upon, experience
θέλω	38	θέλω	I will, wish, desire
πέντε	38	πέντε	five
σημεῖον	38	σημεῖον	a sign, miracle, indication
καρπόν	38	καρπός	fruit, result, gain
γραμματεῖς	38	γραμματεύς	a scribe, town-clerk, man of learning
ἐκείνῃ	38	ἐκεῖνος	that, that one there, yonder
ἔργον	38	ἔργον	work, labor, action, deed
Γαλιλαίας	37	Γαλιλαία	Galilee
σάρκα	37	σάρξ	flesh, body
ὀφθαλμούς	37	ὀφθαλμός	the eye
σαρκός	37	σάρξ	flesh, body
ᾗ	37	ὅς	who, which, what, that
Ἰωάννην	37	Ἰωάννης	John
ἔχουσι(ν)	36	ἔχω	I have, hold, possess
καλῶς	36	καλῶς	well, nobly, rightly
κόσμῳ	36	κόσμος	the world, universe
ὥσπερ	36	ὥσπερ	just as, as
μίαν	36	εἷς	one
οὐρανοῖς	36	οὐρανός	the sky, the heaven
ἀναστάς	36	ἀνίστημι	I raise up, set up, rise from
πόλεως	36	πόλις	a city
σώματος	36	σῶμα	body, flesh
Σίμων	36	Σίμων	Simon
εἰσελθεῖν	36	εἰσέρχομαι	I go in, come in, enter
πίστις	36	πίστις	faith, belief, trust
γενέσθαι	36	γίνομαι	I come into being, am born
ἀγάπη	36	ἀγάπη	love
ἄρτι	36	ἄρτι	now, just now
δικαιοσύνην	36	δικαιοσύνη	justice, justness, righteousness
μεγάλη	35	μέγας	large, great
δοῦλος	35	δοῦλος	a male slave
υἱοῦ	35	υἱός	a son, descendent
εὐθέως	35	εὐθέως	immediately, soon
ὅλον	35	ὅλος	all, the whole, entire
οὐρανῷ	35	οὐρανός	the sky, the heaven
ὀπίσω	35	ὀπίσω	behind, after
μηδέν	35	μηδείς	no one, nothing
Ἰωσήφ	35	Ἰωσήφ	Joseph
δόξα	35	δόξα	honor, renown, glory splendor
καρδίᾳ	35	καρδία	the heart, inner life, intention
ἤκουσα	35	ἀκούω	I hear, listen
μεγάλῃ	34	μέγας	large, great
οἵ	34	ὅς	who, which, what, that
στόματος	34	στόμα	the mouth, speech
παντός	34	πᾶς	all, the whole, every kind of
ποιεῖτε	34	ποιέω	I do, make
ὄχλον	34	ὄχλος	a crowd
μήτε	34	μήτε	nor, neither, not even
φαγεῖν	34	ἐσθίω	I eat
νόμος	34	νόμος	a law, the Mosaic Law
βλέπετε	33	βλέπω	I look, see
αἵματος	33	αἷμα	blood
δοῦναι	33	δίδωμι	I offer, give
υἱοί	33	υἱός	a son, descendent
εὗρον	33	εὑρίσκω	I find
πλοῖον	33	πλοῖον	a ship, vessel
σεαυτόν	33	σεαυτοῦ	of yourself
ἀγαθόν	33	ἀγαθός	good
ἔλθῃ	33	ἔρχομαι	I come, go
δύναμιν	33	δύναμις	might, power, marvelous works
ταύτης	33	οὗτος	this, he, she, it
φωνῇ	33	φωνή	a sound, noise, voice
πατρί	33	πατήρ	father, Father, ancestor
πιστός	33	πιστός	trustworthy, faithful, believing
τέλος	33	τέλος	an end, purpose, tax
ἀκούσας	33	ἀκούω	I hear, listen
γενομένης	33	γίνομαι	I come into being, am born
νυκτός	33	νύξ	the night, night-time
ἀγάπην	33	ἀγάπη	love
ἑνός	33	εἷς	one
ναί	33	ναί	yes, certainly, even so
ὥρα	33	ὥρα	an hour, season
κόσμος	32	κόσμος	the world, universe
προφητῶν	32	προφήτης	a prophet, poet
ἔθνεσι(ν)	32	ἔθνος	a race, people, the Gentiles
δαιμόνια	32	δαιμόνιον	an evil-spirit, demon
θρόνου	32	θρόνος	a throne, seat
σημεῖα	32	σημεῖον	a sign, miracle, indication
ταύτῃ	32	οὗτος	this, he, she, it
μήτηρ	32	μήτηρ	a mother
ἀπέθανε(ν)	32	ἀποθνῄσκω	I am dying, am about to die
φωνή	32	φωνή	a sound, noise, voice
αἰῶνα	31	αἰών	an age, a cycle of time
ἁμαρτιῶν	31	ἁμαρτία	a sin
ἐλάλησε(ν)	31	λαλέω	I speak, say
πλήν	31	πλήν	however, nevertheless
νόμῳ	31	νόμος	a law, the Mosaic Law
τινα	31	τις	any one, some one
ἀνθρώπους	31	ἄνθρωπος	a man, one of the human race
ἀγγέλων	31	ἄγγελος	an angel, messenger
ὁμοίως	31	ὁμοίως	in like manner
γέγονε(ν)	31	γίνομαι	I come into being, am born
ἄνδρα	31	ἀνήρ	a male human being, a man
ἔσονται	31	εἰμί	I am, exist
ἐδόθη	31	δίδωμι	I offer, give
ἴδε	30	ἴδε	See! Lo! Behold! Look!
ἔχειν	30	ἔχω	I have, hold, possess
εἰπών	30	λέγω	I say, speak
Παύλου	30	Παῦλος	Paul
Παῦλον	30	Παῦλος	Paul
ἐγγύς	30	ἐγγύς	near
ἀγαπητοί	30	ἀγαπητός	loved, beloved
ἄρτους	30	ἄρτος	bread, a loaf, food
διδάσκαλε	30	διδάσκαλος	a teacher
χεῖρα	30	χείρ	a hand
ἀληθείᾳ	30	ἀλήθεια	truth
δικαιοσύνης	29	δικαιοσύνη	justice, justness, righteousness
ἱμάτια	29	ἱμάτιον	outer garment
ἐκκλησίας	29	ἐκκλησία	an assembly, congregation, church
πόθεν	29	πόθεν	whence
ἔτη	29	ἔτος	a year
κεφαλήν	29	κεφαλή	the head
ποτέ	29	ποτέ	at one time or other
θαλάσσης	29	θάλασσα	the sea, lake
ἔπεσε(ν)	29	πίπτω	I fall, fall under
πρῶτος	29	πρῶτος	first, before
πυρός	29	πῦρ	fire, trials
ὅσοι	29	ὅσος	how much, how great, how many
πάσχα	29	πάσχα	the feast of Passover, the Passover lamb
Φαρισαίων	29	Φαρισαῖος	a Pharisee
λέγετε	29	λέγω	I say, speak
αἰῶνας	29	αἰών	an age, a cycle of time
στόμα	28	στόμα	the mouth, speech
ἔξεστι(ν)	28	ἔξεστι(ν)	it is permitted, lawful, possible
ἔχεις	28	ἔχω	I have, hold, possess
λόγου	28	λόγος	a word, speech, divine utterance, analogy
ὥρᾳ	28	ὥρα	an hour, season
ἄνθρωποι	28	ἄνθρωπος	a man, one of the human race
ἔχοντα	28	ἔχω	I have, hold, possess
αἰώνων	28	αἰών	an age, a cycle of time
ἱερῷ	28	ἱερός	sacred, holy
ἀγάπῃ	28	ἀγάπη	love
ἁμαρτία	28	ἁμαρτία	a sin
ἀρχιερεύς	28	ἀρχιερεύς	high priest, chief priest
τούτους	28	οὗτος	this, he, she, it
ποιεῖ	28	ποιέω	I do, make
μένει	28	μένω	I remain, abide
προφήτης	27	προφήτης	a prophet, poet
ἑαυτῷ	27	ἑαυτοῦ	himself, herself, itself
μέσῳ	27	μέσος	middle, in the middle
ῥήματα	27	ῥῆμα	a thing spoken
χρόνον	27	χρόνος	time, a particular time, season
Ἰακώβ	27	Ἰακώβ	Jacob
ἄλλοι	27	ἄλλος	other, another, different
παιδίον	27	παιδίον	a little child, an infant
χάριτος	27	χάρις	grace, favor, kindness
δύνασθε	27	δύναμαι	I am powerful, am able
ὄρος	27	ὄρος	a mountain
ἐκεῖθεν	27	ἐκεῖθεν	thence, from that place
ἁμαρτίαν	27	ἁμαρτία	a sin
ὄχλοι	27	ὄχλος	a crowd
ποιῶν	27	ποιέω	I do, make
ὅστις	26	ὅστις	whosoever, whichsoever, whatsoever
ἔλαβον	26	λαμβάνω	I receive, take
μητέρα	26	μήτηρ	a mother
ἡμέραι	26	ἡμέρα	a day
ἐρχόμενος	26	ἔρχομαι	I come, go
γίνεται	26	γίνομαι	I come into being, am born
Μαριάμ	26	Μαριάμ	Miriam
προφήτου	26	προφήτης	a prophet, poet
ἠκούσατε	26	ἀκούω	I hear, listen
Ἰουδαίας	26	Ἰουδαία	Judea
πρόβατα	26	πρόβατον	a sheep
ἐπεί	26	ἐπεί	after, for, since, otherwise
ὄντες	26	εἰμί	I am, exist
πολύς	26	πολύς	much, many, often
ἀνθρώπῳ	26	ἄνθρωπος	a man, one of the human race
παραβολήν	26	παραβολή	a parable, comparison
ἕτερον	26	ἕτερος	another, different
Πέτρον	26	Πέτρος	Peter
μείζων	26	μέγας	large, great
οἰκίᾳ	26	οἰκία	a house, household
ἁγίῳ	26	ἅγιος	set apart, holy, sacred
σάρξ	26	σάρξ	flesh, body
μακάριοι	26	μακάριος	happy, blessed
πῦρ	26	πῦρ	fire, trials
χειρός	26	χείρ	a hand
Ἰουδαίοις	26	Ἰουδαῖος	Jewish
δυνάμει	26	δύναμις	might, power, marvelous works
ἀρχῆς	26	ἀρχή	ruler, beginning
οὔπω	26	οὔπω	not yet
λαῷ	26	λαός	a people, the crowd
ὄχλου	25	ὄχλος	a crowd
ποιήσω	25	ποιέω	I do, make
σώματι	25	σῶμα	body, flesh
εἰρήνην	25	εἰρήνη	peace, peace of mind
πλῆθος	25	πλῆθος	a multitude
θάνατον	25	θάνατος	death
βασιλείας	25	βασιλεία	kingship, sovereignty, authority, rule, kingdom
λίθον	25	λίθος	a stone
αἰῶνος	25	αἰών	an age, a cycle of time
μέγας	25	μέγας	large, great
Ἡρῴδης	25	Ἡρῴδης	Herod
ἄλλος	25	ἄλλος	other, another, different
οὗ	25	οὗ	where, whither, when
δέκα	25	δέκα	ten
γενόμενος	25	γίνομαι	I come into being, am born
ποιεῖν	25	ποιέω	I do, make
μήποτε	25	μήποτε	lest at any time, lest, perhaps
εἶχε(ν)	24	ἔχω	I have, hold, possess
πιστεύων	24	πιστεύω	I believe, have faith in
καιρῷ	24	καιρός	fitting season, opportunity, time
τίνα	24	τίς	who, which, what
ἀσπάσασθε	24	ἀσπάζομαι	I greet, salute, pay my respects to
τρίτον	24	τρίτος	third
ἐκκλησίᾳ	24	ἐκκλησία	an assembly, congregation, church
λαός	24	λαός	a people, the crowd
ποτήριον	24	ποτήριον	a drinking cup
πολλούς	24	πολύς	much, many, often
πάτερ	24	πατήρ	father, Father, ancestor
ἰδίαν	24	ἴδιος	one's own, private, personal
γῆ	24	γῆ	the earth, soil, land
ζωή	24	ζωή	life
ἐρήμῳ	24	ἔρημος	deserted, desolate, a desert
θάνατος	24	θάνατος	death
ὕπαγε	24	ὑπάγω	I go away, depart
πατέρες	24	πατήρ	father, Father, ancestor
κακόν	24	κακός	bad, evil
γίνεσθε	24	γίνομαι	I come into being, am born
σπέρμα	24	σπέρμα	seed, offspring
δεξιῶν	23	δεξιός	on the right hand, right hand, right
διδάσκων	23	διδάσκω	I teach
προσελθών	23	προσέρχομαι	I come near, consent to
Μωϋσέως	23	Μωϋσῆς	Moses
ποιῶ	23	ποιέω	I do, make
ἐπαγγελίας	23	ἐπαγγελία	a promise
χάριτι	23	χάρις	grace, favor, kindness
ἄγγελοι	23	ἄγγελος	an angel, messenger
εὐαγγελίου	23	εὐαγγέλιον	the good news, the gospel
ὁδῷ	23	ὁδός	a way, road, journey
πέραν	23	πέραν	over, beyond
ὕδωρ	23	ὕδωρ	water
φωνῆς	23	φωνή	a sound, noise, voice
διότι	23	διότι	on this account, because, for
λέγοντος	23	λέγω	I say, speak
δώσω	23	δίδωμι	I offer, give
λόγους	23	λόγος	a word, speech, divine utterance, analogy
ἐξῆλθον	23	ἐξέρχομαι	I go out, come out
πολύ	23	πολύς	much, many, often
ἡμέρα	23	ἡμέρα	a day
εἰδότες	23	οἶδα	I know, remember
ἐκείνου	22	ἐκεῖνος	that, that one there, yonder
